categoria,correct
Omicidi commessi,Omicidi commessi
di cui con vittime di sesso femminile,di cui con vittime di sesso femminile
di cui in ambito familiare/affettivo,di cui in ambito familiare/affettivo
dicuidapartner/expartner,di cui da partner/ex partner
di cui da partner/ex partner,di cui da partner/ex partner
dicuiconvittimedisessofemminile,di cui con vittime di sesso femminile
cui con vittime di sesso femminile ~di,di cui con vittime di sesso femminile
~di cui con vittime di sesso femminile,di cui con vittime di sesso femminile
di cui con vittime disesso femminile,di cui con vittime di sesso femminile
4di cui con vittime disesso femminile,di cui con vittime di sesso femminile
di in ambito familiare/affettivo cui,di cui in ambito familiare/affettivo
cui con vittime disesso fenmnile eedi,di cui con vittime di sesso femminile
cui con vittime disesso femminie ~di,di cui con vittime di sesso femminile
di cui con vittime disesso femminie,di cui con vittime di sesso femminile
